Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Average Precision
xgboost,0.9678848283499446,0.9679565176150432,0.9678871404666779,0.9678837080163658,0.9951604375718793,0.9948068961859253
random_forest,0.9608711701734958,0.9611578207933471,0.9608757978274023,0.9608653629147001,0.9910150054233187,0.9894004619053446
knn,0.893687707641196,0.8958532695374801,0.8936740667258962,0.8935397244721961,0.9524116053568217,0.9462631966699109
