Model,Accuracy,AUC,CV_Mean,CV_Std
xgboost,0.9678848283499446,0.9951604375718793,0.9634450290778177,0.001931916323867465
random_forest,0.9601328903654485,0.9912106809398966,0.9579987076525431,0.002219295722361531
knn,0.893687707641196,0.9524116053568217,0.879073202252377,0.004274286680620382
